image_id,accessory,source_sheet,original_media,extracted_file,thumbnail_file,width_px,height_px,picture_name,description_from_excel,anchor,related_text_context,caption_status,suggested_alt_text,metadata_json
IMG-011,HEADBAND,HEADBAND,xl/media/image8.jpeg,images/original/image8.jpeg,images/thumbnails/IMG-011.png,457,381,Picture 2,cid:image002.jpg@01D3C4DE.00B1C330,from R40C21 | to R59C29,"1. Get SG head to double check. | 2. Use one gate design to avoid weldline | 3. PPCO is 1st option. | 4. Sharp point/thin steel, R 0.8mm, Ø 2mm hole.",Needs caption for text-only RAG,Visual reference for HEADBAND accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""HEADBAND"", ""media_path"": ""xl/media/image8.jpeg"", ""anchor"": {""from"": {""col"": 20, ""colOff"": 413470, ""row"": 39, ""rowOff"": 58449}, ""to"": {""col"": 28, ""colOff"": 14564, ""row"": 58, ""rowOff"": 67974}}}"
IMG-012,BELT,BELT,xl/media/image13.JPG,images/original/image13.JPG,images/thumbnails/IMG-012.png,854,1120,Picture 2,,from R3C12 | extent 376x511px,"1. Post direction, outward is the 1st choice. Inward direction is ok for loose belt per design request, but not allowed for tight belt. | 2. Need to fit SG | 3. Try to use 1 post, insead of 2 at every breakaway. | 4. Gate at hole side for PTMI, at post side for MCA",Needs caption for text-only RAG,Visual reference for BELT accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""BELT"", ""media_path"": ""xl/media/image13.JPG"", ""anchor"": {""from"": {""col"": 11, ""colOff"": 467591, ""row"": 2, ""rowOff"": 121228}, ""extent"": {""cx"": 3585413, ""cy"": 4866409, ""width_px"": 376, ""height_px"": 511}}}"
IMG-013,BELT,BELT,xl/media/image12.png,images/original/image12.png,images/thumbnails/IMG-013.png,1507,1081,Picture 1,,from R10C1 | extent 756x555px,"1. Post direction, outward is the 1st choice. Inward direction is ok for loose belt per design request, but not allowed for tight belt. | 2. Need to fit SG | 3. Try to use 1 post, insead of 2 at every breakaway. | 4. Gate at hole side for PTMI, at post side for MCA",Needs caption for text-only RAG,Visual reference for BELT accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""BELT"", ""media_path"": ""xl/media/image12.png"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 108858, ""row"": 9, ""rowOff"": 65563}, ""extent"": {""cx"": 7204364, ""cy"": 5283786, ""width_px"": 756, ""height_px"": 555}}}"
IMG-014,BELT,BELT,xl/media/image15.png,images/original/image15.png,images/thumbnails/IMG-014.png,1158,808,Picture 4,,from R27C12 | extent 710x503px,"1. Post direction, outward is the 1st choice. Inward direction is ok for loose belt per design request, but not allowed for tight belt. | 2. Need to fit SG | 3. Try to use 1 post, insead of 2 at every breakaway. | 4. Gate at hole side for PTMI, at post side for MCA",Needs caption for text-only RAG,Visual reference for BELT accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""BELT"", ""media_path"": ""xl/media/image15.png"", ""anchor"": {""from"": {""col"": 11, ""colOff"": 353786, ""row"": 26, ""rowOff"": 122464}, ""extent"": {""cx"": 6760936, ""cy"": 4789715, ""width_px"": 710, ""height_px"": 503}}}"
IMG-015,BELT,BELT,xl/media/image14.jpg,images/original/image14.jpg,images/thumbnails/IMG-015.png,1112,1322,Picture 3,,from R39C1 | extent 492x582px,"1. Post direction, outward is the 1st choice. Inward direction is ok for loose belt per design request, but not allowed for tight belt. | 2. Need to fit SG | 3. Try to use 1 post, insead of 2 at every breakaway. | 4. Gate at hole side for PTMI, at post side for MCA",Needs caption for text-only RAG,Visual reference for BELT accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""BELT"", ""media_path"": ""xl/media/image14.jpg"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 139784, ""row"": 38, ""rowOff"": 155862}, ""extent"": {""cx"": 4689584, ""cy"": 5541819, ""width_px"": 492, ""height_px"": 582}}}"
IMG-016,BRACELET,BRACELET,xl/media/image16.png,images/original/image16.png,images/thumbnails/IMG-016.png,615,387,Picture 2,,from R11C1 | to R30C10,,Needs caption for text-only RAG,Visual reference for BRACELET accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""BRACELET"", ""media_path"": ""xl/media/image16.png"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 10, ""rowOff"": 0}, ""to"": {""col"": 9, ""colOff"": 412634, ""row"": 29, ""rowOff"": 67189}}}"
IMG-017,BRACELET,BRACELET,xl/media/image17.jpeg,images/original/image17.jpeg,images/thumbnails/IMG-017.png,1237,760,Picture 3,,from R12C10 | extent 539x332px,,Needs caption for text-only RAG,Visual reference for BRACELET accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""BRACELET"", ""media_path"": ""xl/media/image17.jpeg"", ""anchor"": {""from"": {""col"": 9, ""colOff"": 459441, ""row"": 11, ""rowOff"": 67235}, ""extent"": {""cx"": 5137115, ""cy"": 3160059, ""width_px"": 539, ""height_px"": 332}}}"
IMG-018,NECKLACE,NECKLACE,xl/media/image19.png,images/original/image19.png,images/thumbnails/IMG-018.png,731,460,Picture 3,,from R14C18 | to R37C29,1. Please ensure cloose loop design (prefer Y shape gate ) | 2. Please ensure enough space for trimming gate (plier) | 3. Please d-check opening standard below for each material | 4. Please d-check VUM proceed/not --> decide holder dimension,Needs caption for text-only RAG,Visual reference for NECKLACE accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""NECKLACE"", ""media_path"": ""xl/media/image19.png"", ""anchor"": {""from"": {""col"": 17, ""colOff"": 11205, ""row"": 13, ""rowOff"": 108857}, ""to"": {""col"": 28, ""colOff"": 269353, ""row"": 36, ""rowOff"": 109469}}}"
IMG-019,NECKLACE,NECKLACE,xl/media/image21.png,images/original/image21.png,images/thumbnails/IMG-019.png,442,481,Picture 2,,from R16C1 | to R30C5,1. Please ensure cloose loop design (prefer Y shape gate ) | 2. Please ensure enough space for trimming gate (plier) | 3. Please d-check opening standard below for each material | 4. Please d-check VUM proceed/not --> decide holder dimension,Needs caption for text-only RAG,Visual reference for NECKLACE accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""NECKLACE"", ""media_path"": ""xl/media/image21.png"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 530678, ""row"": 15, ""rowOff"": 73479}, ""to"": {""col"": 4, ""colOff"": 568767, ""row"": 29, ""rowOff"": 101481}}}"
IMG-020,NECKLACE,NECKLACE,xl/media/image22.png,images/original/image22.png,images/thumbnails/IMG-020.png,548,647,Picture 6,,from R16C5 | to R30C9,1. Please ensure cloose loop design (prefer Y shape gate ) | 2. Please ensure enough space for trimming gate (plier) | 3. Please d-check opening standard below for each material | 4. Please d-check VUM proceed/not --> decide holder dimension,Needs caption for text-only RAG,Visual reference for NECKLACE accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""NECKLACE"", ""media_path"": ""xl/media/image22.png"", ""anchor"": {""from"": {""col"": 4, ""colOff"": 587828, ""row"": 15, ""rowOff"": 44904}, ""to"": {""col"": 8, ""colOff"": 472445, ""row"": 29, ""rowOff"": 127267}}}"
IMG-021,NECKLACE,NECKLACE,xl/media/image23.png,images/original/image23.png,images/thumbnails/IMG-021.png,288,476,Picture 7,,from R16C10 | to R30C12,1. Please ensure cloose loop design (prefer Y shape gate ) | 2. Please ensure enough space for trimming gate (plier) | 3. Please d-check opening standard below for each material | 4. Please d-check VUM proceed/not --> decide holder dimension,Needs caption for text-only RAG,Visual reference for NECKLACE accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""NECKLACE"", ""media_path"": ""xl/media/image23.png"", ""anchor"": {""from"": {""col"": 9, ""colOff"": 143275, ""row"": 15, ""rowOff"": 101723}, ""to"": {""col"": 11, ""colOff"": 351443, ""row"": 29, ""rowOff"": 116622}}}"
IMG-022,NECKLACE,NECKLACE,xl/media/image24.png,images/original/image24.png,images/thumbnails/IMG-022.png,640,713,Picture 8,,from R16C12 | to R30C16,1. Please ensure cloose loop design (prefer Y shape gate ) | 2. Please ensure enough space for trimming gate (plier) | 3. Please d-check opening standard below for each material | 4. Please d-check VUM proceed/not --> decide holder dimension,Needs caption for text-only RAG,Visual reference for NECKLACE accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""NECKLACE"", ""media_path"": ""xl/media/image24.png"", ""anchor"": {""from"": {""col"": 11, ""colOff"": 444235, ""row"": 15, ""rowOff"": 164087}, ""to"": {""col"": 15, ""colOff"": 404100, ""row"": 29, ""rowOff"": 149680}}}"
IMG-023,NECKLACE,NECKLACE,xl/media/image25.png,images/original/image25.png,images/thumbnails/IMG-023.png,387,601,Picture 10,,from R32C1 | to R56C6,1. Please ensure cloose loop design (prefer Y shape gate ) | 2. Please ensure enough space for trimming gate (plier) | 3. Please d-check opening standard below for each material | 4. Please d-check VUM proceed/not --> decide holder dimension,Needs caption for text-only RAG,Visual reference for NECKLACE accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""NECKLACE"", ""media_path"": ""xl/media/image25.png"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 530678, ""row"": 31, ""rowOff"": 108857}, ""to"": {""col"": 5, ""colOff"": 357443, ""row"": 55, ""rowOff"": 22416}}}"
IMG-024,NECKLACE,NECKLACE,xl/media/image26.png,images/original/image26.png,images/thumbnails/IMG-024.png,446,684,Picture 14,,from R35C10 | to R50C12,1. Please ensure cloose loop design (prefer Y shape gate ) | 2. Please ensure enough space for trimming gate (plier) | 3. Please d-check opening standard below for each material | 4. Please d-check VUM proceed/not --> decide holder dimension,Needs caption for text-only RAG,Visual reference for NECKLACE accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""NECKLACE"", ""media_path"": ""xl/media/image26.png"", ""anchor"": {""from"": {""col"": 9, ""colOff"": 91587, ""row"": 34, ""rowOff"": 186837}, ""to"": {""col"": 11, ""colOff"": 534229, ""row"": 49, ""rowOff"": 166502}}}"
IMG-025,NECKLACE,NECKLACE,xl/media/image18.png,images/original/image18.png,images/thumbnails/IMG-025.png,698,264,Picture 1,,from R35C18 | to R46C27,1. Please ensure cloose loop design (prefer Y shape gate ) | 2. Please ensure enough space for trimming gate (plier) | 3. Please d-check opening standard below for each material | 4. Please d-check VUM proceed/not --> decide holder dimension,Needs caption for text-only RAG,Visual reference for NECKLACE accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""NECKLACE"", ""media_path"": ""xl/media/image18.png"", ""anchor"": {""from"": {""col"": 17, ""colOff"": 303119, ""row"": 34, ""rowOff"": 81644}, ""to"": {""col"": 26, ""colOff"": 446555, ""row"": 45, ""rowOff"": 113720}}}"
IMG-026,NECKLACE,NECKLACE,xl/media/image20.png,images/original/image20.png,images/thumbnails/IMG-026.png,742,213,Picture 4,,from R47C18 | to R57C28,1. Please ensure cloose loop design (prefer Y shape gate ) | 2. Please ensure enough space for trimming gate (plier) | 3. Please d-check opening standard below for each material | 4. Please d-check VUM proceed/not --> decide holder dimension,Needs caption for text-only RAG,Visual reference for NECKLACE accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""NECKLACE"", ""media_path"": ""xl/media/image20.png"", ""anchor"": {""from"": {""col"": 17, ""colOff"": 325530, ""row"": 46, ""rowOff"": 162807}, ""to"": {""col"": 27, ""colOff"": 400050, ""row"": 56, ""rowOff"": 29745}}}"
IMG-027,BACKPACK ASSY,Backpack assy,xl/media/image27.png,images/original/image27.png,images/thumbnails/IMG-027.png,1033,579,Picture 7,,from R14C1 | to R22C5,1. Strap connection type mushroom | 2. Ensure there's locking slot on hole | 3. Add ribb allong backpack bottom | Locking on hole Ø3.2,Needs caption for text-only RAG,Visual reference for Backpack assy accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""Backpack assy"", ""media_path"": ""xl/media/image27.png"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 13, ""rowOff"": 66675}, ""to"": {""col"": 4, ""colOff"": 194387, ""row"": 21, ""rowOff"": 18361}}}"
IMG-028,BACKPACK ASSY,Backpack assy,xl/media/image28.png,images/original/image28.png,images/thumbnails/IMG-028.png,817,734,Picture 10,,from R24C4 | to R33C7,1. Strap connection type mushroom | 2. Ensure there's locking slot on hole | 3. Add ribb allong backpack bottom | Locking on hole Ø3.2,Needs caption for text-only RAG,Visual reference for Backpack assy accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""Backpack assy"", ""media_path"": ""xl/media/image28.png"", ""anchor"": {""from"": {""col"": 3, ""colOff"": 5794, ""row"": 23, ""rowOff"": 0}, ""to"": {""col"": 6, ""colOff"": 206327, ""row"": 32, ""rowOff"": 114300}}}"
IMG-029,BACKPACK ASSY,Backpack assy,xl/media/image29.png,images/original/image29.png,images/thumbnails/IMG-029.png,456,473,Picture 13,,from R24C9 | to R48C17,1. Strap connection type mushroom | 2. Ensure there's locking slot on hole | 3. Add ribb allong backpack bottom | Locking on hole Ø3.2,Needs caption for text-only RAG,Visual reference for Backpack assy accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""Backpack assy"", ""media_path"": ""xl/media/image29.png"", ""anchor"": {""from"": {""col"": 8, ""colOff"": 552450, ""row"": 23, ""rowOff"": 123825}, ""to"": {""col"": 16, ""colOff"": 18507, ""row"": 47, ""rowOff"": 56587}}}"
IMG-030,BACKPACK ASSY,Backpack assy,xl/media/image30.png,images/original/image30.png,images/thumbnails/IMG-030.png,545,472,Picture 14,,from R24C17 | to R47C25,1. Strap connection type mushroom | 2. Ensure there's locking slot on hole | 3. Add ribb allong backpack bottom | Locking on hole Ø3.2,Needs caption for text-only RAG,Visual reference for Backpack assy accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""Backpack assy"", ""media_path"": ""xl/media/image30.png"", ""anchor"": {""from"": {""col"": 16, ""colOff"": 0, ""row"": 23, ""rowOff"": 0}, ""to"": {""col"": 24, ""colOff"": 313676, ""row"": 46, ""rowOff"": 113738}}}"
IMG-031,BACKPACK ASSY,Backpack assy,xl/media/image31.png,images/original/image31.png,images/thumbnails/IMG-031.png,992,677,Picture 15,,from R32C2 | to R41C6,1. Strap connection type mushroom | 2. Ensure there's locking slot on hole | 3. Add ribb allong backpack bottom | Locking on hole Ø3.2,Needs caption for text-only RAG,Visual reference for Backpack assy accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""Backpack assy"", ""media_path"": ""xl/media/image31.png"", ""anchor"": {""from"": {""col"": 1, ""colOff"": 0, ""row"": 31, ""rowOff"": 0}, ""to"": {""col"": 5, ""colOff"": 241319, ""row"": 40, ""rowOff"": 114300}}}"
IMG-032,STD ELECTRODE PTMI,STD Electrode PTMI,xl/media/image32.png,images/original/image32.png,images/thumbnails/IMG-032.png,330,285,Picture 2,,from R1C1 | to R21C6,40mm | Ø7mm | Standard electrode PTMI | Flat Surface Add 2 hole for M6,Needs caption for text-only RAG,Visual reference for STD Electrode PTMI accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""STD Electrode PTMI"", ""media_path"": ""xl/media/image32.png"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 0, ""rowOff"": 0}, ""to"": {""col"": 5, ""colOff"": 149198, ""row"": 20, ""rowOff"": 96171}}}"
IMG-033,GLASSES,GLASSES,xl/media/image34.png,images/original/image34.png,images/thumbnails/IMG-033.png,1016,599,Picture 3,,from R11C13 | to R29C22,"1. P/L location, not go through middle of glass. | 2. Enough Connection at Middle | 3. Slide sticking, enough draft 3~10 degree. | 4. Hang on slide, enough strike",Needs caption for text-only RAG,Visual reference for GLASSES accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""GLASSES"", ""media_path"": ""xl/media/image34.png"", ""anchor"": {""from"": {""col"": 12, ""colOff"": 169382, ""row"": 10, ""rowOff"": 185889}, ""to"": {""col"": 21, ""colOff"": 388870, ""row"": 28, ""rowOff"": 120894}}}"
IMG-034,GLASSES,GLASSES,xl/media/image33.png,images/original/image33.png,images/thumbnails/IMG-034.png,693,267,Picture 2,,from R15C1 | to R27C11,"1. P/L location, not go through middle of glass. | 2. Enough Connection at Middle | 3. Slide sticking, enough draft 3~10 degree. | 4. Hang on slide, enough strike",Needs caption for text-only RAG,Visual reference for GLASSES accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""GLASSES"", ""media_path"": ""xl/media/image33.png"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 520513, ""row"": 14, ""rowOff"": 104544}, ""to"": {""col"": 10, ""colOff"": 394742, ""row"": 26, ""rowOff"": 170571}}}"
IMG-035,HAIR CLIP,Hair clip,xl/media/image37.png,images/original/image37.png,images/thumbnails/IMG-035.png,916,409,Picture 4,,from R10C1 | to R19C6,1. Add notch on part | 2. half plastic on hinge | 3. coring on hinge | 4. Bump on pin,Needs caption for text-only RAG,Visual reference for Hair clip accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""Hair clip"", ""media_path"": ""xl/media/image37.png"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 393010, ""row"": 9, ""rowOff"": 116788}, ""to"": {""col"": 5, ""colOff"": 314958, ""row"": 18, ""rowOff"": 82830}}}"
IMG-036,HAIR CLIP,Hair clip,xl/media/image35.png,images/original/image35.png,images/thumbnails/IMG-036.png,556,855,Picture 15,,from R10C6 | to R29C11,1. Add notch on part | 2. half plastic on hinge | 3. coring on hinge | 4. Bump on pin,Needs caption for text-only RAG,Visual reference for Hair clip accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""Hair clip"", ""media_path"": ""xl/media/image35.png"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 216594, ""row"": 9, ""rowOff"": 83657}, ""to"": {""col"": 10, ""colOff"": 414367, ""row"": 28, ""rowOff"": 1902}}}"
IMG-037,HAIR CLIP,Hair clip,xl/media/image36.png,images/original/image36.png,images/thumbnails/IMG-037.png,497,791,Picture 20,,from R10C6 | to R29C11,1. Add notch on part | 2. half plastic on hinge | 3. coring on hinge | 4. Bump on pin,Needs caption for text-only RAG,Visual reference for Hair clip accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""Hair clip"", ""media_path"": ""xl/media/image36.png"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 216594, ""row"": 9, ""rowOff"": 83657}, ""to"": {""col"": 10, ""colOff"": 414367, ""row"": 28, ""rowOff"": 1902}}}"
IMG-038,SHOES,SHOES,xl/media/image50.png,images/original/image50.png,images/thumbnails/IMG-038.png,1197,805,Picture 37,,from R2C28 | to R27C45,1. Need jumping P/L at bottom if there's logo. | 2. Please add offset 0.3mm (clearance to leg) per side | 3. Arrange layout R-R and L-L and add flag on runner to make trimming process easier | 4. Tampo issue- Ensure gate position not at side area bookmask (will affect paint issue),Needs caption for text-only RAG,Visual reference for SHOES accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""SHOES"", ""media_path"": ""xl/media/image50.png"", ""anchor"": {""from"": {""col"": 27, ""colOff"": 536864, ""row"": 1, ""rowOff"": 225136}, ""to"": {""col"": 44, ""colOff"": 331133, ""row"": 26, ""rowOff"": 53461}}}"
IMG-039,SHOES,SHOES,xl/media/image42.png,images/original/image42.png,images/thumbnails/IMG-039.png,308,557,Picture 16,,from R4C13 | to R12C15,1. Need jumping P/L at bottom if there's logo. | 2. Please add offset 0.3mm (clearance to leg) per side | 3. Arrange layout R-R and L-L and add flag on runner to make trimming process easier | 4. Tampo issue- Ensure gate position not at side area bookmask (will affect paint issue),Needs caption for text-only RAG,Visual reference for SHOES accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""SHOES"", ""media_path"": ""xl/media/image42.png"", ""anchor"": {""from"": {""col"": 12, ""colOff"": 133351, ""row"": 3, ""rowOff"": 304800}, ""to"": {""col"": 14, ""colOff"": 521951, ""row"": 11, ""rowOff"": 0}}}"
IMG-040,SHOES,SHOES,xl/media/image43.png,images/original/image43.png,images/thumbnails/IMG-040.png,308,536,Picture 14,,from R4C15 | to R12C18,1. Need jumping P/L at bottom if there's logo. | 2. Please add offset 0.3mm (clearance to leg) per side | 3. Arrange layout R-R and L-L and add flag on runner to make trimming process easier | 4. Tampo issue- Ensure gate position not at side area bookmask (will affect paint issue),Needs caption for text-only RAG,Visual reference for SHOES accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""SHOES"", ""media_path"": ""xl/media/image43.png"", ""anchor"": {""from"": {""col"": 14, ""colOff"": 585938, ""row"": 3, ""rowOff"": 276225}, ""to"": {""col"": 17, ""colOff"": 436688, ""row"": 11, ""rowOff"": 0}}}"
