chunk_id,content_type,title,text_for_embedding,accessory,source,image_ids,image_paths,metadata_json
CHK-STD-BELT-001,checklist_item,BELT - STD-BELT-001,"Accessory: BELT
Standard ID: STD-BELT-001
Requirement type: Assembly/fit
Requirement: Post direction, outward is the 1st choice. Inward direction is ok for loose belt per design request, but not allowed for tight belt.
Applicability / remark: 
Source: BELT!C5",BELT,BELT!C5,IMG-012; IMG-013; IMG-014; IMG-015,images/original/image13.JPG; images/original/image12.png; images/original/image15.png; images/original/image14.jpg,"{""accessory"": ""BELT"", ""standard_id"": ""STD-BELT-001"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Assembly/fit"", ""source_sheet"": ""BELT"", ""source_cell"": ""C5"", ""source_row"": 5, ""source"": ""BELT!C5"", ""image_ids"": [""IMG-012"", ""IMG-013"", ""IMG-014"", ""IMG-015""], ""review_flag"": """"}"
CHK-STD-BELT-002,checklist_item,BELT - STD-BELT-002,"Accessory: BELT
Standard ID: STD-BELT-002
Requirement type: Assembly/fit
Requirement: Need to fit SG
Applicability / remark: 
Source: BELT!C6",BELT,BELT!C6,IMG-012; IMG-013; IMG-014; IMG-015,images/original/image13.JPG; images/original/image12.png; images/original/image15.png; images/original/image14.jpg,"{""accessory"": ""BELT"", ""standard_id"": ""STD-BELT-002"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Assembly/fit"", ""source_sheet"": ""BELT"", ""source_cell"": ""C6"", ""source_row"": 6, ""source"": ""BELT!C6"", ""image_ids"": [""IMG-012"", ""IMG-013"", ""IMG-014"", ""IMG-015""], ""review_flag"": """"}"
CHK-STD-BELT-003,checklist_item,BELT - STD-BELT-003,"Accessory: BELT
Standard ID: STD-BELT-003
Requirement type: Assembly/fit
Requirement: Try to use 1 post, insead of 2 at every breakaway.
Applicability / remark: 
Source: BELT!C7",BELT,BELT!C7,IMG-012; IMG-013; IMG-014; IMG-015,images/original/image13.JPG; images/original/image12.png; images/original/image15.png; images/original/image14.jpg,"{""accessory"": ""BELT"", ""standard_id"": ""STD-BELT-003"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Assembly/fit"", ""source_sheet"": ""BELT"", ""source_cell"": ""C7"", ""source_row"": 7, ""source"": ""BELT!C7"", ""image_ids"": [""IMG-012"", ""IMG-013"", ""IMG-014"", ""IMG-015""], ""review_flag"": """"}"
CHK-STD-BELT-004,checklist_item,BELT - STD-BELT-004,"Accessory: BELT
Standard ID: STD-BELT-004
Requirement type: Gate/runner/trimming
Requirement: Gate at hole side for PTMI, at post side for MCA
Applicability / remark: 
Source: BELT!C8",BELT,BELT!C8,IMG-012; IMG-013; IMG-014; IMG-015,images/original/image13.JPG; images/original/image12.png; images/original/image15.png; images/original/image14.jpg,"{""accessory"": ""BELT"", ""standard_id"": ""STD-BELT-004"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Gate/runner/trimming"", ""source_sheet"": ""BELT"", ""source_cell"": ""C8"", ""source_row"": 8, ""source"": ""BELT!C8"", ""image_ids"": [""IMG-012"", ""IMG-013"", ""IMG-014"", ""IMG-015""], ""review_flag"": """"}"
CHK-STD-NECKLACE-001,checklist_item,NECKLACE - STD-NECKLACE-001,"Accessory: NECKLACE
Standard ID: STD-NECKLACE-001
Requirement type: Gate/runner/trimming
Requirement: Please ensure cloose loop design (prefer Y shape gate )
Applicability / remark: All type
Source: NECKLACE!C5",NECKLACE,NECKLACE!C5,IMG-018; IMG-019; IMG-020; IMG-021; IMG-022; IMG-023; IMG-024; IMG-025; IMG-026,images/original/image19.png; images/original/image21.png; images/original/image22.png; images/original/image23.png; images/original/image24.png; images/original/image25.png; images/original/image26.png; images/original/image18.png; images/original/image20.png,"{""accessory"": ""NECKLACE"", ""standard_id"": ""STD-NECKLACE-001"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Gate/runner/trimming"", ""source_sheet"": ""NECKLACE"", ""source_cell"": ""C5"", ""source_row"": 5, ""source"": ""NECKLACE!C5"", ""image_ids"": [""IMG-018"", ""IMG-019"", ""IMG-020"", ""IMG-021"", ""IMG-022"", ""IMG-023"", ""IMG-024"", ""IMG-025"", ""IMG-026""], ""review_flag"": """"}"
CHK-STD-NECKLACE-002,checklist_item,NECKLACE - STD-NECKLACE-002,"Accessory: NECKLACE
Standard ID: STD-NECKLACE-002
Requirement type: Gate/runner/trimming
Requirement: Please ensure enough space for trimming gate (plier)
Applicability / remark: All type
Source: NECKLACE!C6",NECKLACE,NECKLACE!C6,IMG-018; IMG-019; IMG-020; IMG-021; IMG-022; IMG-023; IMG-024; IMG-025; IMG-026,images/original/image19.png; images/original/image21.png; images/original/image22.png; images/original/image23.png; images/original/image24.png; images/original/image25.png; images/original/image26.png; images/original/image18.png; images/original/image20.png,"{""accessory"": ""NECKLACE"", ""standard_id"": ""STD-NECKLACE-002"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Gate/runner/trimming"", ""source_sheet"": ""NECKLACE"", ""source_cell"": ""C6"", ""source_row"": 6, ""source"": ""NECKLACE!C6"", ""image_ids"": [""IMG-018"", ""IMG-019"", ""IMG-020"", ""IMG-021"", ""IMG-022"", ""IMG-023"", ""IMG-024"", ""IMG-025"", ""IMG-026""], ""review_flag"": """"}"
CHK-STD-NECKLACE-003,checklist_item,NECKLACE - STD-NECKLACE-003,"Accessory: NECKLACE
Standard ID: STD-NECKLACE-003
Requirement type: Material/process
Requirement: Please d-check opening standard below for each material
Applicability / remark: All type
Source: NECKLACE!C7",NECKLACE,NECKLACE!C7,IMG-018; IMG-019; IMG-020; IMG-021; IMG-022; IMG-023; IMG-024; IMG-025; IMG-026,images/original/image19.png; images/original/image21.png; images/original/image22.png; images/original/image23.png; images/original/image24.png; images/original/image25.png; images/original/image26.png; images/original/image18.png; images/original/image20.png,"{""accessory"": ""NECKLACE"", ""standard_id"": ""STD-NECKLACE-003"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Material/process"", ""source_sheet"": ""NECKLACE"", ""source_cell"": ""C7"", ""source_row"": 7, ""source"": ""NECKLACE!C7"", ""image_ids"": [""IMG-018"", ""IMG-019"", ""IMG-020"", ""IMG-021"", ""IMG-022"", ""IMG-023"", ""IMG-024"", ""IMG-025"", ""IMG-026""], ""review_flag"": """"}"
CHK-STD-NECKLACE-004,checklist_item,NECKLACE - STD-NECKLACE-004,"Accessory: NECKLACE
Standard ID: STD-NECKLACE-004
Requirement type: Dimension/geometry
Requirement: Please d-check VUM proceed/not --> decide holder dimension
Applicability / remark: All type
Source: NECKLACE!C8",NECKLACE,NECKLACE!C8,IMG-018; IMG-019; IMG-020; IMG-021; IMG-022; IMG-023; IMG-024; IMG-025; IMG-026,images/original/image19.png; images/original/image21.png; images/original/image22.png; images/original/image23.png; images/original/image24.png; images/original/image25.png; images/original/image26.png; images/original/image18.png; images/original/image20.png,"{""accessory"": ""NECKLACE"", ""standard_id"": ""STD-NECKLACE-004"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Dimension/geometry"", ""source_sheet"": ""NECKLACE"", ""source_cell"": ""C8"", ""source_row"": 8, ""source"": ""NECKLACE!C8"", ""image_ids"": [""IMG-018"", ""IMG-019"", ""IMG-020"", ""IMG-021"", ""IMG-022"", ""IMG-023"", ""IMG-024"", ""IMG-025"", ""IMG-026""], ""review_flag"": """"}"
CHK-STD-BACKPACK_ASSY-001,checklist_item,BACKPACK ASSY - STD-BACKPACK_ASSY-001,"Accessory: BACKPACK ASSY
Standard ID: STD-BACKPACK_ASSY-001
Requirement type: General design
Requirement: Strap connection type mushroom
Applicability / remark: 
Source: Backpack assy!B4",BACKPACK ASSY,Backpack assy!B4,IMG-027; IMG-028; IMG-029; IMG-030; IMG-031,images/original/image27.png; images/original/image28.png; images/original/image29.png; images/original/image30.png; images/original/image31.png,"{""accessory"": ""BACKPACK ASSY"", ""standard_id"": ""STD-BACKPACK_ASSY-001"", ""content_type"": ""checklist_item"", ""requirement_type"": ""General design"", ""source_sheet"": ""Backpack assy"", ""source_cell"": ""B4"", ""source_row"": 4, ""source"": ""Backpack assy!B4"", ""image_ids"": [""IMG-027"", ""IMG-028"", ""IMG-029"", ""IMG-030"", ""IMG-031""], ""review_flag"": """"}"
CHK-STD-BACKPACK_ASSY-002,checklist_item,BACKPACK ASSY - STD-BACKPACK_ASSY-002,"Accessory: BACKPACK ASSY
Standard ID: STD-BACKPACK_ASSY-002
Requirement type: Assembly/fit
Requirement: Ensure there's locking slot on hole
Applicability / remark: 
Source: Backpack assy!B5",BACKPACK ASSY,Backpack assy!B5,IMG-027; IMG-028; IMG-029; IMG-030; IMG-031,images/original/image27.png; images/original/image28.png; images/original/image29.png; images/original/image30.png; images/original/image31.png,"{""accessory"": ""BACKPACK ASSY"", ""standard_id"": ""STD-BACKPACK_ASSY-002"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Assembly/fit"", ""source_sheet"": ""Backpack assy"", ""source_cell"": ""B5"", ""source_row"": 5, ""source"": ""Backpack assy!B5"", ""image_ids"": [""IMG-027"", ""IMG-028"", ""IMG-029"", ""IMG-030"", ""IMG-031""], ""review_flag"": """"}"
CHK-STD-BACKPACK_ASSY-003,checklist_item,BACKPACK ASSY - STD-BACKPACK_ASSY-003,"Accessory: BACKPACK ASSY
Standard ID: STD-BACKPACK_ASSY-003
Requirement type: General design
Requirement: Add ribb allong backpack bottom
Applicability / remark: 
Source: Backpack assy!B6",BACKPACK ASSY,Backpack assy!B6,IMG-027; IMG-028; IMG-029; IMG-030; IMG-031,images/original/image27.png; images/original/image28.png; images/original/image29.png; images/original/image30.png; images/original/image31.png,"{""accessory"": ""BACKPACK ASSY"", ""standard_id"": ""STD-BACKPACK_ASSY-003"", ""content_type"": ""checklist_item"", ""requirement_type"": ""General design"", ""source_sheet"": ""Backpack assy"", ""source_cell"": ""B6"", ""source_row"": 6, ""source"": ""Backpack assy!B6"", ""image_ids"": [""IMG-027"", ""IMG-028"", ""IMG-029"", ""IMG-030"", ""IMG-031""], ""review_flag"": """"}"
CHK-STD-GLASSES-001,checklist_item,GLASSES - STD-GLASSES-001,"Accessory: GLASSES
Standard ID: STD-GLASSES-001
Requirement type: Mold/tooling
Requirement: P/L location, not go through middle of glass.
Applicability / remark: 
Source: GLASSES!C5",GLASSES,GLASSES!C5,IMG-033; IMG-034,images/original/image34.png; images/original/image33.png,"{""accessory"": ""GLASSES"", ""standard_id"": ""STD-GLASSES-001"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Mold/tooling"", ""source_sheet"": ""GLASSES"", ""source_cell"": ""C5"", ""source_row"": 5, ""source"": ""GLASSES!C5"", ""image_ids"": [""IMG-033"", ""IMG-034""], ""review_flag"": """"}"
CHK-STD-GLASSES-002,checklist_item,GLASSES - STD-GLASSES-002,"Accessory: GLASSES
Standard ID: STD-GLASSES-002
Requirement type: General design
Requirement: Enough Connection at Middle
Applicability / remark: 
Source: GLASSES!C6",GLASSES,GLASSES!C6,IMG-033; IMG-034,images/original/image34.png; images/original/image33.png,"{""accessory"": ""GLASSES"", ""standard_id"": ""STD-GLASSES-002"", ""content_type"": ""checklist_item"", ""requirement_type"": ""General design"", ""source_sheet"": ""GLASSES"", ""source_cell"": ""C6"", ""source_row"": 6, ""source"": ""GLASSES!C6"", ""image_ids"": [""IMG-033"", ""IMG-034""], ""review_flag"": """"}"
CHK-STD-GLASSES-003,checklist_item,GLASSES - STD-GLASSES-003,"Accessory: GLASSES
Standard ID: STD-GLASSES-003
Requirement type: Mold/tooling
Requirement: Slide sticking, enough draft 3~10 degree.
Applicability / remark: 
Source: GLASSES!C7",GLASSES,GLASSES!C7,IMG-033; IMG-034,images/original/image34.png; images/original/image33.png,"{""accessory"": ""GLASSES"", ""standard_id"": ""STD-GLASSES-003"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Mold/tooling"", ""source_sheet"": ""GLASSES"", ""source_cell"": ""C7"", ""source_row"": 7, ""source"": ""GLASSES!C7"", ""image_ids"": [""IMG-033"", ""IMG-034""], ""review_flag"": """"}"
CHK-STD-GLASSES-004,checklist_item,GLASSES - STD-GLASSES-004,"Accessory: GLASSES
Standard ID: STD-GLASSES-004
Requirement type: Mold/tooling
Requirement: Hang on slide, enough strike
Applicability / remark: 
Source: GLASSES!C8",GLASSES,GLASSES!C8,IMG-033; IMG-034,images/original/image34.png; images/original/image33.png,"{""accessory"": ""GLASSES"", ""standard_id"": ""STD-GLASSES-004"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Mold/tooling"", ""source_sheet"": ""GLASSES"", ""source_cell"": ""C8"", ""source_row"": 8, ""source"": ""GLASSES!C8"", ""image_ids"": [""IMG-033"", ""IMG-034""], ""review_flag"": """"}"
CHK-STD-GLASSES-005,checklist_item,GLASSES - STD-GLASSES-005,"Accessory: GLASSES
Standard ID: STD-GLASSES-005
Requirement type: Dimension/geometry
Requirement: Basic wall thickness 1.5mm
Applicability / remark: 
Source: GLASSES!C9",GLASSES,GLASSES!C9,IMG-033; IMG-034,images/original/image34.png; images/original/image33.png,"{""accessory"": ""GLASSES"", ""standard_id"": ""STD-GLASSES-005"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Dimension/geometry"", ""source_sheet"": ""GLASSES"", ""source_cell"": ""C9"", ""source_row"": 9, ""source"": ""GLASSES!C9"", ""image_ids"": [""IMG-033"", ""IMG-034""], ""review_flag"": """"}"
CHK-STD-HAIR_CLIP-001,checklist_item,HAIR CLIP - STD-HAIR_CLIP-001,"Accessory: HAIR CLIP
Standard ID: STD-HAIR_CLIP-001
Requirement type: General design
Requirement: Add notch on part
Applicability / remark: 
Source: Hair clip!C5",HAIR CLIP,Hair clip!C5,IMG-035; IMG-036; IMG-037,images/original/image37.png; images/original/image35.png; images/original/image36.png,"{""accessory"": ""HAIR CLIP"", ""standard_id"": ""STD-HAIR_CLIP-001"", ""content_type"": ""checklist_item"", ""requirement_type"": ""General design"", ""source_sheet"": ""Hair clip"", ""source_cell"": ""C5"", ""source_row"": 5, ""source"": ""Hair clip!C5"", ""image_ids"": [""IMG-035"", ""IMG-036"", ""IMG-037""], ""review_flag"": """"}"
CHK-STD-HAIR_CLIP-002,checklist_item,HAIR CLIP - STD-HAIR_CLIP-002,"Accessory: HAIR CLIP
Standard ID: STD-HAIR_CLIP-002
Requirement type: General design
Requirement: half plastic on hinge
Applicability / remark: 
Source: Hair clip!C6",HAIR CLIP,Hair clip!C6,IMG-035; IMG-036; IMG-037,images/original/image37.png; images/original/image35.png; images/original/image36.png,"{""accessory"": ""HAIR CLIP"", ""standard_id"": ""STD-HAIR_CLIP-002"", ""content_type"": ""checklist_item"", ""requirement_type"": ""General design"", ""source_sheet"": ""Hair clip"", ""source_cell"": ""C6"", ""source_row"": 6, ""source"": ""Hair clip!C6"", ""image_ids"": [""IMG-035"", ""IMG-036"", ""IMG-037""], ""review_flag"": """"}"
CHK-STD-HAIR_CLIP-003,checklist_item,HAIR CLIP - STD-HAIR_CLIP-003,"Accessory: HAIR CLIP
Standard ID: STD-HAIR_CLIP-003
Requirement type: General design
Requirement: coring on hinge
Applicability / remark: 
Source: Hair clip!C7",HAIR CLIP,Hair clip!C7,IMG-035; IMG-036; IMG-037,images/original/image37.png; images/original/image35.png; images/original/image36.png,"{""accessory"": ""HAIR CLIP"", ""standard_id"": ""STD-HAIR_CLIP-003"", ""content_type"": ""checklist_item"", ""requirement_type"": ""General design"", ""source_sheet"": ""Hair clip"", ""source_cell"": ""C7"", ""source_row"": 7, ""source"": ""Hair clip!C7"", ""image_ids"": [""IMG-035"", ""IMG-036"", ""IMG-037""], ""review_flag"": """"}"
CHK-STD-HAIR_CLIP-004,checklist_item,HAIR CLIP - STD-HAIR_CLIP-004,"Accessory: HAIR CLIP
Standard ID: STD-HAIR_CLIP-004
Requirement type: General design
Requirement: Bump on pin
Applicability / remark: 
Source: Hair clip!C8",HAIR CLIP,Hair clip!C8,IMG-035; IMG-036; IMG-037,images/original/image37.png; images/original/image35.png; images/original/image36.png,"{""accessory"": ""HAIR CLIP"", ""standard_id"": ""STD-HAIR_CLIP-004"", ""content_type"": ""checklist_item"", ""requirement_type"": ""General design"", ""source_sheet"": ""Hair clip"", ""source_cell"": ""C8"", ""source_row"": 8, ""source"": ""Hair clip!C8"", ""image_ids"": [""IMG-035"", ""IMG-036"", ""IMG-037""], ""review_flag"": """"}"
CHK-STD-HAIR_CLIP-005,checklist_item,HAIR CLIP - STD-HAIR_CLIP-005,"Accessory: HAIR CLIP
Standard ID: STD-HAIR_CLIP-005
Requirement type: General design
Requirement: Optimize projection area
Applicability / remark: 
Source: Hair clip!C9",HAIR CLIP,Hair clip!C9,IMG-035; IMG-036; IMG-037,images/original/image37.png; images/original/image35.png; images/original/image36.png,"{""accessory"": ""HAIR CLIP"", ""standard_id"": ""STD-HAIR_CLIP-005"", ""content_type"": ""checklist_item"", ""requirement_type"": ""General design"", ""source_sheet"": ""Hair clip"", ""source_cell"": ""C9"", ""source_row"": 9, ""source"": ""Hair clip!C9"", ""image_ids"": [""IMG-035"", ""IMG-036"", ""IMG-037""], ""review_flag"": """"}"
CHK-STD-SHOES-001,checklist_item,SHOES - STD-SHOES-001,"Accessory: SHOES
Standard ID: STD-SHOES-001
Requirement type: Decoration/marking
Requirement: Need jumping P/L at bottom if there's logo.
Applicability / remark: All type
Source: SHOES!C5",SHOES,SHOES!C5,IMG-038; IMG-039; IMG-040; IMG-041; IMG-042; IMG-043; IMG-044; IMG-045; IMG-046; IMG-047; IMG-048; IMG-049; IMG-050; IMG-051; IMG-052; IMG-053; IMG-054,images/original/image50.png; images/original/image42.png; images/original/image43.png; images/original/image39.jpeg; images/original/image40.png; images/original/image44.png; images/original/image52.png; images/original/image38.png; images/original/image46.png; images/original/image47.png; images/original/image48.png; images/original/image45.jpeg; images/original/image49.png; images/original/image45.jpeg; images/original/image41.png; images/original/image51.png; images/original/image41.png,"{""accessory"": ""SHOES"", ""standard_id"": ""STD-SHOES-001"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Decoration/marking"", ""source_sheet"": ""SHOES"", ""source_cell"": ""C5"", ""source_row"": 5, ""source"": ""SHOES!C5"", ""image_ids"": [""IMG-038"", ""IMG-039"", ""IMG-040"", ""IMG-041"", ""IMG-042"", ""IMG-043"", ""IMG-044"", ""IMG-045"", ""IMG-046"", ""IMG-047"", ""IMG-048"", ""IMG-049"", ""IMG-050"", ""IMG-051"", ""IMG-052"", ""IMG-053"", ""IMG-054""], ""review_flag"": """"}"
